presidente,año_programa,año_cuenta,tema,en_programa,en_cuenta,diferencia
boric,2022,2025,Corrupción,1.13,1.33,0.2
boric,2022,2025,Derechos humanos,2.15,1.64,-0.51
boric,2022,2025,Desigualdad,1.13,0.62,-0.51
boric,2022,2025,Economía,12.94,6.31,-6.63
boric,2022,2025,Educación,14.6,6.94,-7.66
boric,2022,2025,Género/Mujer,6.39,4.13,-2.26
boric,2022,2025,Medio ambiente,5.82,1.71,-4.11
boric,2022,2025,Migración,1.56,0.86,-0.7
boric,2022,2025,Niños/Infancia,0.67,0.7,0.03
boric,2022,2025,Pensiones,1.96,1.48,-0.48
boric,2022,2025,Pobreza,0.7,0.62,-0.08
boric,2022,2025,Regiones,6.87,3.82,-3.05
boric,2022,2025,Salud,12.27,7.41,-4.86
boric,2022,2025,Seguridad,5.34,5.53,0.19
boric,2022,2025,Tecnología,5.88,2.26,-3.62
boric,2022,2025,Trabajo/Empleo,7.46,4.91,-2.55
boric,2022,2025,Vivienda,2.98,0.94,-2.04
